[2026-07-01 07:59:24] ALLOWED | System Idle Process | 172.20.10.2:61681 -> 40.99.8.226:443
[2026-07-01 07:59:24] ALLOWED | System Idle Process | 172.20.10.2:61680 -> 40.99.8.226:443
[2026-07-01 07:59:27] ALLOWED | System Idle Process | 172.20.10.2:63781 -> 172.20.10.1:53
[2026-07-01 07:59:36] ALLOWED | Code.exe | 172.20.10.2:49363 -> 13.107.213.68:443
[2026-07-01 07:59:36] ALLOWED | chrome.exe | 172.20.10.2:60394 -> 192.178.177.17:443
[2026-07-01 07:59:36] ALLOWED | System Idle Process | 172.20.10.2:63781 -> 172.20.10.1:53
[2026-07-01 07:59:36] ALLOWED | OneDrive.Sync.Service.exe | 172.20.10.2:49367 -> 13.69.109.130:443
[2026-07-01 07:59:36] ALLOWED | ArmouryCrate.Service.exe | 127.0.0.1:50100 -> 127.0.0.1:56162
[2026-07-01 07:59:36] ALLOWED | msedge.exe | 172.20.10.2:60054 -> 40.99.8.226:443
[2026-07-01 07:59:36] ALLOWED | python.exe | 127.0.0.1:52832 -> 127.0.0.1:52847
[2026-07-01 07:59:36] ALLOWED | System Idle Process | 172.20.10.2:61681 -> 40.99.8.226:443
[2026-07-01 07:59:36] ALLOWED | ROGLiveService.exe | 127.0.0.1:49669 -> 127.0.0.1:13030
[2026-07-01 07:59:36] ALLOWED | System Idle Process | 172.20.10.2:59002 -> 172.20.10.1:53
[2026-07-01 07:59:36] ALLOWED | svchost.exe | 172.20.10.2:64888 -> 20.190.146.35:443
[2026-07-01 07:59:36] ALLOWED | Unknown | 172.20.10.2:55299 -> 13.69.109.130:443
[2026-07-01 07:59:36] ALLOWED | svchost.exe | 172.20.10.2:49377 -> 20.190.146.35:443
[2026-07-01 07:59:36] ALLOWED | ArmouryCrate.UserSessionHelper.exe | 127.0.0.1:56162 -> 127.0.0.1:50100
[2026-07-01 07:59:36] ALLOWED | chrome.exe | 172.20.10.2:54016 -> 74.125.24.188:5228
[2026-07-01 07:59:36] ALLOWED | System Idle Process | 172.20.10.2:61680 -> 40.99.8.226:443
[2026-07-01 07:59:36] ALLOWED | StartMenuExperienceHost.exe | 172.20.10.2:56186 -> 52.110.21.107:443
[2026-07-01 07:59:36] ALLOWED | msedge.exe | 172.20.10.2:65442 -> 150.171.27.11:443
[2026-07-01 07:59:36] ALLOWED | ArmouryCrate.Service.exe | 127.0.0.1:13031 -> 127.0.0.1:49682
[2026-07-01 07:59:36] ALLOWED | OneDrive.Sync.Service.exe | 172.20.10.2:49368 -> 167.82.62.172:80
[2026-07-01 07:59:36] ALLOWED | msedge.exe | 172.20.10.2:50646 -> 150.171.27.11:443
[2026-07-01 07:59:36] ALLOWED | OneDrive.Sync.Service.exe | 172.20.10.2:49369 -> 13.69.109.130:443
[2026-07-01 07:59:36] ALLOWED | svchost.exe | 172.20.10.2:64887 -> 20.190.146.35:443
[2026-07-01 07:59:36] ALLOWED | ROGLiveService.exe | 127.0.0.1:13030 -> 127.0.0.1:49669
[2026-07-01 07:59:36] ALLOWED | chrome.exe | 172.20.10.2:53010 -> 104.18.39.21:443
[2026-07-01 07:59:36] ALLOWED | System Idle Process | 172.20.10.2:50465 -> 172.20.10.1:53
[2026-07-01 07:59:36] ALLOWED | svchost.exe | 172.20.10.2:49378 -> 20.190.146.35:443
[2026-07-01 07:59:36] ALLOWED | msedge.exe | 172.20.10.2:51788 -> 40.99.8.226:443
[2026-07-01 07:59:36] ALLOWED | AuraWallpaperService.exe | 127.0.0.1:49682 -> 127.0.0.1:13031
[2026-07-01 07:59:36] ALLOWED | python.exe | 127.0.0.1:52847 -> 127.0.0.1:52832
[2026-07-01 07:59:36] ALLOWED | System Idle Process | 172.20.10.2:51790 -> 135.234.160.244:443
[2026-07-01 07:59:36] ALLOWED | Code.exe | 172.20.10.2:49158 -> 20.42.65.93:443
[2026-07-01 07:59:36] ALLOWED | python.exe | 127.0.0.1:52845 -> 127.0.0.1:52833
[2026-07-01 07:59:36] ALLOWED | svchost.exe | 172.20.10.2:51683 -> 20.190.146.35:443
[2026-07-01 07:59:36] ALLOWED | AcPowerNotification.exe | 127.0.0.1:63782 -> 127.0.0.1:1042
[2026-07-01 07:59:36] ALLOWED | chrome.exe | 172.20.10.2:53401 -> 104.18.32.47:443
[2026-07-01 07:59:36] ALLOWED | Unknown | 172.20.10.2:55296 -> 13.69.109.130:443
[2026-07-01 07:59:36] ALLOWED | svchost.exe | 172.20.10.2:49414 -> 4.213.25.240:443
[2026-07-01 07:59:36] ALLOWED | python.exe | 127.0.0.1:52833 -> 127.0.0.1:52845
[2026-07-01 07:59:36] ALLOWED | AcPowerNotification.exe | 127.0.0.1:63782 -> 127.0.0.1:1042
[2026-07-01 07:59:48] ALLOWED | AcPowerNotification.exe | 127.0.0.1:63783 -> 127.0.0.1:1042
[2026-07-01 07:59:49] ALLOWED | AcPowerNotification.exe | 127.0.0.1:63783 -> 127.0.0.1:1042
[2026-07-01 07:59:51] ALLOWED | taskhostw.exe | 172.20.10.2:63785 -> 85.210.193.152:443
[2026-07-01 07:59:51] ALLOWED | Code.exe | 172.20.10.2:63784 -> 20.50.88.235:443
[2026-07-01 07:59:52] ALLOWED | Code.exe | 172.20.10.2:63784 -> 20.50.88.235:443
[2026-07-01 07:59:52] ALLOWED | taskhostw.exe | 172.20.10.2:63785 -> 85.210.193.152:443
[2026-07-01 08:00:00] ALLOWED | svchost.exe | 172.20.10.2:63788 -> 20.190.146.35:443
[2026-07-01 08:00:00] ALLOWED | ms-teamsupdate.exe | 172.20.10.2:63786 -> 52.123.129.14:443
[2026-07-01 08:00:00] ALLOWED | svchost.exe | 172.20.10.2:63789 -> 52.140.232.67:443
[2026-07-01 08:00:00] ALLOWED | AcPowerNotification.exe | 127.0.0.1:63787 -> 127.0.0.1:1042
[2026-07-01 08:00:01] ALLOWED | svchost.exe | 172.20.10.2:63789 -> 52.140.232.67:443
[2026-07-01 08:00:01] ALLOWED | ms-teamsupdate.exe | 172.20.10.2:63786 -> 52.123.129.14:443
[2026-07-01 08:00:01] ALLOWED | svchost.exe | 172.20.10.2:63788 -> 20.190.146.35:443
[2026-07-01 08:00:01] ALLOWED | AcPowerNotification.exe | 127.0.0.1:63787 -> 127.0.0.1:1042
[2026-07-01 08:00:03] ALLOWED | svchost.exe | 172.20.10.2:63797 -> 74.224.107.132:80
[2026-07-01 08:00:03] ALLOWED | svchost.exe | 172.20.10.2:63790 -> 135.149.172.176:443
[2026-07-01 08:00:03] ALLOWED | svchost.exe | 172.20.10.2:63791 -> 135.149.172.176:443
[2026-07-01 08:00:03] ALLOWED | svchost.exe | 172.20.10.2:63793 -> 49.44.153.228:443
[2026-07-01 08:00:03] ALLOWED | System Idle Process | 172.20.10.2:63789 -> 52.140.232.67:443
[2026-07-01 08:00:03] ALLOWED | svchost.exe | 172.20.10.2:63796 -> 49.44.152.41:443
[2026-07-01 08:00:03] ALLOWED | svchost.exe | 172.20.10.2:63795 -> 49.44.152.41:443
[2026-07-01 08:00:03] ALLOWED | System Idle Process | 172.20.10.2:63794 -> 20.247.185.124:443
[2026-07-01 08:00:03] ALLOWED | Code.exe | 172.20.10.2:63798 -> 172.67.213.245:443
[2026-07-01 08:00:04] ALLOWED | svchost.exe | 172.20.10.2:63796 -> 49.44.152.41:443
[2026-07-01 08:00:04] ALLOWED | svchost.exe | 172.20.10.2:63791 -> 135.149.172.176:443
[2026-07-01 08:00:04] ALLOWED | System Idle Process | 172.20.10.2:63789 -> 52.140.232.67:443
[2026-07-01 08:00:04] ALLOWED | svchost.exe | 172.20.10.2:63795 -> 49.44.152.41:443
[2026-07-01 08:00:04] ALLOWED | svchost.exe | 172.20.10.2:63793 -> 49.44.153.228:443
[2026-07-01 08:00:04] ALLOWED | Code.exe | 172.20.10.2:63799 -> 104.21.23.220:443
[2026-07-01 08:00:04] ALLOWED | svchost.exe | 172.20.10.2:63790 -> 135.149.172.176:443
[2026-07-01 08:00:04] ALLOWED | svchost.exe | 172.20.10.2:63797 -> 74.224.107.132:80
[2026-07-01 08:00:04] ALLOWED | System Idle Process | 172.20.10.2:63794 -> 20.247.185.124:443
[2026-07-01 08:00:07] ALLOWED | svchost.exe | 172.20.10.2:63800 -> 74.224.107.132:443
[2026-07-01 08:00:07] ALLOWED | svchost.exe | 172.20.10.2:63801 -> 74.224.107.132:443
[2026-07-01 08:00:07] ALLOWED | svchost.exe | 172.20.10.2:63803 -> 72.145.35.107:443
[2026-07-01 08:00:07] ALLOWED | System Idle Process | 172.20.10.2:63790 -> 135.149.172.176:443
[2026-07-01 08:00:07] ALLOWED | System Idle Process | 172.20.10.2:63791 -> 135.149.172.176:443
[2026-07-01 08:00:07] ALLOWED | svchost.exe | 172.20.10.2:63802 -> 49.44.152.41:443
